y_exact,u_exact,y_r=0.10,u_r=0.10,y_r=0.25,u_r=0.25,y_r=0.40,u_r=0.40,y_r=0.50,u_r=0.50,y_r=0.60,u_r=0.60
-0.8528428093645485,0.04262390910229139,0.10000000000000009,0.09860085528682935,0.10000000000000009,0.09862962588491303,0.10000000000000009,0.09865839782670065,0.10000000000000009,0.09867818169613066,0.10000000000000009,-2443.267282793164
-0.8461538461538461,0.04413788906449462,0.15000000000000013,0.09825830170893676,0.15000000000000013,0.09828867973880669,0.15000000000000013,0.09831907097337239,0.15000000000000013,0.09833870402112214,0.15000000000000013,2815.8886218758357
-0.8394648829431438,0.045619167899625425,0.20000000000000018,0.09774599914546409,0.20000000000000018,0.0977784808724168,0.20000000000000018,0.09781099034878384,0.20000000000000018,0.09783335815549457,0.20000000000000018,-3319.846763902911
-0.8327759197324415,0.04706824744666474,0.25,0.09703031411040178,0.25,0.09706525412586242,0.25,0.09710023737832313,0.25,0.09712285314924501,0.25,3936.688824414468
-0.8260869565217391,0.04848562685030691,0.30000000000000004,0.09606677475857124,0.30000000000000004,0.09610435322721429,0.30000000000000004,0.09614198953609589,0.30000000000000004,0.09616789805237067,0.30000000000000004,-4638.6274305319275
-0.8193979933110368,0.04987180246383872,0.3500000000000001,0.09479926174969497,0.3500000000000001,0.09483945822186969,0.3500000000000001,0.09487972457300492,0.3500000000000001,0.0949057679163719,0.3500000000000001,5390.9272927146985
-0.8127090301003345,0.05122726775377971,0.40000000000000013,0.09315914007794598,0.40000000000000013,0.09320171588320916,0.40000000000000013,0.09324436972106563,0.40000000000000013,0.09327373779274928,0.40000000000000013,-6148.780738791944
-0.8060200668896321,0.0525525132063334,0.4500000000000002,0.09106439808117422,0.4500000000000002,0.09110888929127536,0.4500000000000002,0.09115346200366499,0.4500000000000002,0.0911822942113153,0.4500000000000002,6861.383392040258
-0.7993311036789298,0.0538480262357015,0.5,0.08841886568291743,0.5,0.08846458835865495,0.5,0.08851039113352557,0.5,0.08854192370188255,0.5,-7471.142542900359
-0.7926421404682275,0.055114291094307974,0.55,0.0851115862749782,0.55,0.08515765515684233,0.55,0.08520379828355476,0.55,0.08523364212467392,0.55,7920.093018701715
-0.7859531772575251,0.0563517887849797,0.6000000000000001,0.08101641494778117,0.6000000000000001,0.08106177592329003,0.6000000000000001,0.08110720178277292,0.6000000000000001,0.08113846533991234,0.6000000000000001,-8151.5212820789475
-0.7792642140468228,0.05756099697512715,0.6500000000000001,0.07599190963107598,0.6500000000000001,0.0760353852663489,0.6500000000000001,0.07607891422170722,0.6500000000000001,0.07610705930987888,0.6500000000000001,8117.900965004817
-0.7725752508361204,0.05874238991296812,0.7000000000000002,0.06988157100300156,0.7000000000000002,0.06992191725945689,0.7000000000000002,0.06996230451684518,0.7000000000000002,0.06999008999685467,0.7000000000000002,-7783.476424956559
-0.7658862876254181,0.059896438345831124,0.75,0.06251447199136853,0.75,0.06255044309007689,0.75,0.06258644347512637,0.75,0.0626097134106924,0.75,7131.438701307122
-0.7591973244147157,0.0610236094405798,0.8,0.05370629894471003,0.8,0.05373671633648998,0.8,0.053767152964675616,0.8,0.05378808556124477,0.8,-6165.011077404055
-0.7525083612040133,0.0621243667061897,0.8500000000000001,0.04326080509485609,0.8500000000000001,0.04328462578479664,0.8500000000000001,0.04330845792972729,0.8500000000000001,0.043323858597879183,0.8500000000000001,4911.141478910212
-0.745819397993311,0.0631991699185123,0.9000000000000001,0.030971654104912236,0.9000000000000001,0.030988033280856354,0.9000000000000001,0.031004418471607457,0.9000000000000001,0.031015684669963038,0.9000000000000001,-3418.0347179114738
